"time","target","actual","min","max"
"21.7","5.03","5.276708506276856","4.03","6.03"
"21.8","5.32","5.571101142121789","4.32","6.32"
"21.9","5.61","5.865066971008743","4.61","6.61"
"22.0","5.9","6.158644354109294","4.9","6.9"
"22.1","6.17","6.429856343199075","5.17","7.17"
"22.2","6.44","6.701035565927574","5.44","7.44"
"22.3","6.71","6.972084153193335","5.71","7.71"
"22.4","6.98","7.243016127404982","5.98","7.98"
"22.5","7.25","7.513843783718434","6.25","8.25"
"22.6","7.52","7.7845781483152425","6.52","8.52"
"22.7","7.79","8.055229106299599","6.79","8.79"
"22.8","8.06","8.325805517723126","7.0600000000000005","9.06"
"22.9","8.33","8.596315322107541","7.33","9.33"
"23.0","8.6","8.866765632543887","7.6","9.6"
"23.1","8.89","9.159151450426778","7.890000000000001","9.89"
"23.2","9.18","9.45124710826237","8.18","10.18"
"23.3","9.469999999999999","9.743134091082169","8.469999999999999","10.469999999999999"
"23.4","9.76","10.034832183897295","8.76","10.76"
"23.5","10.05","10.326359552380186","9.05","11.05"
"23.6","10.34","10.617732680615816","9.34","11.34"
"23.7","10.629999999999999","10.908966516416063","9.629999999999999","11.629999999999999"
"23.8","10.92","11.200074605632024","9.92","11.92"
"23.9","11.21","11.4910692164228","10.21","12.21"
"24.0","11.5","11.781961453857088","10.5","12.5"
"24.1","11.78","12.061775146871636","10.78","12.78"
"24.2","12.06","12.341612551885065","11.06","13.06"
"24.3","12.34","12.621460086251506","11.34","13.34"
"24.4","12.620000000000001","12.901317053145675","11.620000000000001","13.620000000000001"
"24.5","12.9","13.181182790050972","11.9","13.9"
"24.6","13.18","13.461056675936005","12.18","14.18"
"24.7","13.46","13.740938129709711","12.46","14.46"
"24.8","13.74","14.020826608520661","12.74","14.74"
"24.9","14.020000000000001","14.300721605953857","13.020000000000001","15.020000000000001"
"25.0","14.3","14.580622650171874","13.3","15.3"
"25.1","14.56","14.838570114802188","13.56","15.56"
"25.2","14.82","15.09671337909565","13.82","15.82"
"25.3","15.08","15.355034608569307","14.08","16.08"
"25.4","15.34","15.613516618313115","14.34","16.34"
"25.5","15.6","15.872143874149588","14.6","16.6"
"25.6","15.86","16.130902335987077","14.86","16.86"
"25.7","16.119999999999997","16.38977931520219","15.119999999999997","17.119999999999997"
"25.8","16.38","16.64876334548853","15.379999999999999","17.38"
"25.9","16.64","16.90784406591928","15.64","17.64"
"26.0","16.9","17.16701211508524","15.899999999999999","17.9"
"26.1","16.939999999999998","17.185983564254943","15.939999999999998","17.939999999999998"
"26.2","16.98","17.205420546961562","15.98","17.98"
"26.3","17.02","17.226893308409334","16.02","18.02"
"26.4","17.06","17.250219589808857","16.06","18.06"
"26.5","17.1","17.275213417534744","16.1","18.1"
"26.6","17.14","17.30170738171672","16.14","18.14"
"26.7","17.18","17.329551000268584","16.18","18.18"
"26.8","17.22","17.358608985954874","16.22","18.22"
"26.9","17.26","17.388759692799187","16.26","18.26"
"27.0","17.3","17.41989372505314","16.3","18.3"
"27.1","17.380000000000003","17.49576303640252","16.380000000000003","18.380000000000003"
"27.2","17.46","17.572177993752945","16.46","18.46"
"27.3","17.54","17.648949481929307","16.54","18.54"
"27.4","17.62","17.72604180532785","16.62","18.62"
"27.5","17.700000000000003","17.803423049191142","16.700000000000003","18.700000000000003"
"27.6","17.78","17.881064477558855","16.78","18.78"
"27.7","17.86","17.95894021555977","16.86","18.86"
"27.8","17.94","18.037026963904076","16.94","18.94"
"27.9","18.020000000000003","18.11530374199787","17.020000000000003","19.020000000000003"
"28.0","18.1","18.19375165678436","17.1","19.1"
"28.1","18.36","18.471052864377146","17.36","19.36"
"28.2","18.62","18.745573248917246","17.62","19.62"
"28.3","18.880000000000003","19.018684723279527","17.880000000000003","19.880000000000003"
"28.4","19.14","19.290512163813073","18.14","20.14"
"28.5","19.4","19.56118045128286","18.4","20.4"
"28.6","19.66","19.8308023488302","18.66","20.66"
"28.7","19.919999999999998","20.099479759838328","18.919999999999998","20.919999999999998"
"28.8","20.18","20.367304754099976","19.18","21.18"
"28.9","20.439999999999998","20.634360501353154","19.439999999999998","21.439999999999998"
"29.0","20.7","20.90072211896552","19.7","21.7"
"29.1","20.8","20.990720548901255","19.8","21.8"
"29.2","20.9","21.081654654054827","19.9","21.9"
"29.3","21.0","21.173490414496346","20.0","22.0"
"29.4","21.099999999999998","21.266138233304652","20.099999999999998","22.099999999999998"
"29.5","21.2","21.359517207478543","20.2","22.2"
"29.6","21.3","21.45355451608325","20.3","22.3"
"29.7","21.4","21.548184609179295","20.4","22.4"
"29.8","21.5","21.643348478136012","20.5","22.5"
"29.9","21.599999999999998","21.73899299990502","20.599999999999998","22.599999999999998"
"30.0","21.7","21.83507034761626","20.7","22.7"
"30.1","21.77","21.898616579945617","20.77","22.77"
"30.2","21.84","21.962746736762437","20.84","22.84"
"30.3","21.91","22.02746139350623","20.91","22.91"
"30.4","21.98","22.092702409398587","20.98","22.98"
